PropertyTimestampInNumber,AirFlowSetpointMax,AirFlowSetpointMin,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160103184500,619.5,619.5,619.5,100.0,74,64.9,100,62.8,75.0,72.0
20160103190000,619.5,619.5,619.5,100.0,74,64.9,100,62.9,75.0,72.0
20160103191500,619.5,619.5,619.5,100.0,74,65.8,100,62.8,75.0,72.0
20160103193000,619.5,619.5,619.5,100.0,74,64.0,100,62.8,75.0,72.0
20160103194500,619.5,619.5,619.5,100.0,74,61.2,100,62.8,75.0,72.0
20160103200000,619.5,619.5,619.5,100.0,74,64.8,100,62.8,75.0,72.0
20160103201500,619.5,619.5,613.2,98.9831,74,64.0,100,62.7,75.0,72.0
20160103203000,619.5,619.5,619.5,100.0,74,62.0,100,62.7,75.0,72.0
20160103204500,619.5,619.5,619.5,100.0,74,64.8,100,62.7,75.0,72.0
20160103210000,619.5,619.5,619.5,100.0,74,64.8,100,62.7,75.0,72.0
20160103211500,619.5,619.5,619.5,100.0,74,61.6,100,62.7,75.0,72.0
20160103213000,619.5,619.5,613.2,98.9831,74,61.6,100,62.7,75.0,72.0
20160103214500,619.5,619.5,619.5,100.0,74,61.6,100,62.6,75.0,72.0
20160103220000,619.5,619.5,619.5,100.0,74,61.6,100,62.6,75.0,72.0
20160103221500,619.5,619.5,613.2,98.9831,74,61.6,100,62.6,75.0,72.0
20160103223000,619.5,619.5,619.5,100.0,74,63.6,100,62.6,75.0,72.0
20160103224500,619.5,619.5,619.5,100.0,74,64.4,100,62.5,75.0,72.0
20160103230000,619.5,619.5,619.5,100.0,74,64.4,100,62.5,75.0,72.0
20160103231500,619.5,619.5,619.5,100.0,74,64.4,100,62.5,75.0,72.0
20160103233000,619.5,619.5,619.5,100.0,74,65.3,100,62.5,75.0,72.0
20160103234500,619.5,619.5,619.5,100.0,74,64.4,100,62.5,75.0,72.0
20160104000000,619.5,619.5,619.5,100.0,74,62.8,100,62.5,75.0,72.0
20160104001500,619.5,619.5,619.5,100.0,74,62.8,100,62.4,75.0,72.0
20160104003000,619.5,619.5,619.5,100.0,74,61.2,100,62.4,75.0,72.0
20160104004500,619.5,619.5,619.5,100.0,74,62.0,100,62.4,75.0,72.0
20160104010000,619.5,619.5,619.5,100.0,74,63.6,100,62.4,75.0,72.0
20160104011500,619.5,619.5,619.5,100.0,74,63.6,100,62.4,75.0,72.0
20160104013000,619.5,619.5,619.5,100.0,74,64.4,100,62.3,75.0,72.0
20160104014500,619.5,619.5,619.5,100.0,74,64.4,100,62.2,75.0,72.0
20160104020000,619.5,619.5,613.2,98.9831,74,64.4,100,62.2,75.0,72.0
20160104021500,619.5,619.5,624.75,100.8475,74,64.4,100,62.2,75.0,72.0
20160104023000,619.5,619.5,624.75,100.8475,74,64.4,100,62.2,75.0,72.0
20160104024500,619.5,619.5,624.75,100.8475,74,64.4,100,62.2,75.0,72.0
20160104030000,619.5,619.5,624.75,100.8475,74,63.6,100,62.1,75.0,72.0
20160104031500,619.5,619.5,624.75,100.8475,74,63.6,100,62.0,75.0,72.0
20160104033000,619.5,619.5,624.75,100.8475,74,64.4,100,62.1,75.0,72.0
20160104034500,619.5,619.5,624.75,100.8475,74,63.6,100,62.0,75.0,72.0
20160104040000,619.5,619.5,613.2,98.9831,74,63.6,100,62.0,75.0,72.0
20160104041500,619.5,619.5,619.5,100.0,74,63.6,100,62.0,75.0,72.0
20160104043000,619.5,619.5,619.5,100.0,74,61.2,100,62.1,75.0,72.0
20160104044500,619.5,619.5,619.5,100.0,74,61.2,100,62.1,75.0,72.0
20160104050000,619.5,619.5,619.5,100.0,74,61.2,100,62.1,75.0,72.0
20160104051500,619.5,619.5,619.5,100.0,74,61.2,100,62.0,75.0,72.0
20160104053000,619.5,619.5,619.5,100.0,74,64.4,100,62.0,75.0,72.0
20160104054500,619.5,619.5,613.2,98.9831,74,64.4,100,62.0,75.0,72.0
