PropertyTimestampInNumber,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160105073000,253.8,86.3265,60,46.1,68.0,68.0,59.8
20160105074500,244.8,83.2653,59,46.7,67.6,68.0,59.8
20160105080000,210.6,71.6327,54,46.1,67.9,68.0,59.8
20160105081500,240.6,81.8367,59,46.7,68.0,68.0,59.8
20160105083000,249.0,84.6939,60,46.7,68.4,68.0,59.8
20160105084500,235.8,80.2041,58,46.7,67.6,68.0,59.8
20160105090000,230.4,78.3673,57,46.7,67.9,68.0,59.8
20160105091500,220.8,75.102,56,46.7,68.2,68.0,59.8
20160105093000,208.8,71.0204,54,47.6,67.8,68.0,59.8
20160105094500,235.8,80.2041,58,46.8,68.2,68.0,59.8
20160105100000,235.8,80.2041,58,47.5,67.9,68.0,59.8
20160105101500,225.6,76.7347,57,47.5,67.8,68.0,59.8
20160105103000,220.8,75.102,57,46.7,68.0,68.0,59.8
20160105104500,225.6,76.7347,57,46.7,68.2,68.0,59.8
20160105110000,225.6,76.7347,57,46.1,68.2,68.0,59.8
20160105111500,225.6,76.7347,57,46.7,68.2,68.0,59.8
20160105113000,220.8,75.102,57,46.7,68.2,68.0,59.8
20160105114500,220.8,75.102,57,46.1,68.1,68.0,59.8
20160105120000,220.8,75.102,57,46.8,68.1,68.0,59.8
20160105121500,220.8,75.102,57,46.8,68.1,68.0,59.8
20160105123000,225.6,76.7347,57,46.8,68.2,68.0,59.8
20160105124500,225.6,76.7347,57,46.8,68.3,68.0,59.8
20160105130000,244.8,83.2653,58,46.8,68.2,68.0,59.8
20160105131500,202.2,68.7755,53,46.8,67.4,68.0,59.8
20160105133000,240.6,81.8367,58,46.8,68.1,68.0,59.8
20160105134500,240.6,81.8367,58,46.8,68.2,68.0,59.8
20160105140000,240.6,81.8367,58,46.8,68.1,68.0,59.8
20160105141500,240.6,81.8367,57,46.8,67.6,68.0,59.8
20160105143000,199.8,67.9592,51,46.8,67.3,68.0,59.8
20160105144500,141.0,47.9592,44,47.9,67.1,68.0,59.8
20160105150000,116.4,39.5918,40,47.9,67.3,68.0,59.8
20160105151500,82.2,27.9592,35,48.6,67.4,68.0,59.8
20160105153000,73.2,24.898,33,48.6,67.4,68.0,59.8
20160105154500,0.0,0.0,8,50.6,67.6,68.0,59.8
20160105160000,0.0,0.0,9,54.7,67.7,68.0,59.8
20160105161500,73.2,24.898,35,50.3,68.4,68.0,59.8
20160105163000,120.6,41.0204,42,48.3,68.7,68.0,59.8
20160105164500,107.4,36.5306,40,48.3,68.2,68.0,59.8
20160105170000,130.2,44.2857,44,48.3,68.2,68.0,59.8
20160105171500,121.8,41.4286,42,47.6,68.2,68.0,59.8
20160105173000,121.8,41.4286,42,47.6,67.9,68.0,59.8
20160105174500,177.6,60.4082,51,47.6,68.9,68.0,59.8
20160105180000,185.4,63.0612,52,46.7,68.6,68.0,59.8
20160105181500,262.2,89.1837,63,46.1,69.1,68.0,59.8
20160105183000,287.4,97.7551,65,46.8,69.0,68.0,59.8
20160105184500,274.8,93.4694,63,46.8,68.2,68.0,59.8
20160105190000,274.8,93.4694,63,46.1,67.8,68.0,59.8
20160105191500,266.4,90.6122,62,46.8,67.8,68.0,59.8
20160105193000,215.4,73.2653,56,46.8,67.4,68.0,59.8
20160105194500,211.8,72.0408,54,46.1,67.5,68.0,59.8
20160105200000,207.0,70.4082,54,46.8,67.7,68.0,59.8
20160105201500,200.4,68.1633,53,46.8,67.7,68.0,59.8
20160105203000,191.4,65.102,52,46.8,67.7,68.0,59.8
20160105204500,187.8,63.8776,51,46.8,67.7,68.0,59.8
20160105210000,175.8,59.7959,50,46.8,67.7,68.0,59.8
20160105211500,169.8,57.7551,49,46.8,67.7,68.0,59.8
20160105213000,152.4,51.8367,47,46.8,67.6,68.0,59.8
20160105214500,144.0,48.9796,45,46.8,67.6,68.0,59.8
20160105220000,141.0,47.9592,45,46.8,67.7,68.0,59.8
20160105221500,141.0,47.9592,45,46.8,67.7,68.0,59.8
20160105223000,122.4,41.6327,42,46.8,67.6,68.0,59.8
20160105224500,110.4,37.551,40,47.9,67.6,68.0,59.8
20160105230000,96.6,32.8571,38,47.9,67.6,68.0,59.8
20160105231500,90.6,30.8163,37,47.9,67.7,68.0,59.8
20160105233000,86.4,29.3878,36,47.9,67.7,68.0,59.8
20160105234500,83.4,28.3673,35,47.9,67.7,68.0,59.8
20160106000000,75.0,25.5102,34,47.9,67.7,68.0,59.8
20160106001500,55.8,18.9796,32,48.7,67.8,68.0,59.8
20160106003000,55.8,18.9796,32,48.7,67.8,68.0,59.8
20160106004500,55.8,18.9796,32,48.7,67.9,68.0,59.8
20160106010000,60.0,20.4082,0,48.7,67.8,68.0,59.8
20160106011500,55.8,18.9796,0,48.7,67.9,68.0,59.8
20160106013000,0.0,0.0,5,52.7,68.5,68.0,59.8
20160106014500,0.0,0.0,9,53.9,68.4,68.0,59.8
20160106020000,53.4,18.1633,28,51.5,68.4,68.0,59.8
20160106021500,58.2,19.7959,29,49.5,68.0,68.0,59.8
20160106023000,58.2,19.7959,29,49.0,67.9,68.0,59.8
20160106024500,55.8,18.9796,29,49.0,67.9,68.0,59.8
20160106030000,49.2,16.7347,28,49.0,67.9,68.0,59.8
20160106031500,49.2,16.7347,28,49.8,67.9,68.0,59.8
20160106033000,49.2,16.7347,28,49.8,67.8,68.0,59.8
20160106034500,53.4,18.1633,28,49.8,67.9,68.0,59.8
20160106040000,49.2,16.7347,27,49.8,67.8,68.0,59.8
20160106041500,49.2,16.7347,27,49.8,67.9,68.0,59.8
20160106044500,51.6,17.551,28,50.3,68.0,68.0,59.8
20160106050000,51.6,17.551,28,47.9,68.1,68.0,59.8
20160106051500,51.6,17.551,28,47.9,68.1,68.0,59.8
20160106053000,53.4,18.1633,28,47.9,68.0,68.0,59.8
20160106054500,51.6,17.551,28,49.0,68.0,68.0,59.8
20160106060000,53.4,18.1633,28,49.0,68.1,68.0,59.8
20160106061500,58.2,19.7959,29,49.0,68.3,68.0,59.8
20160106063000,80.4,27.3469,33,48.3,68.4,68.0,59.8
20160106064500,0.0,0.0,8,49.0,67.5,68.0,59.8
20160106070000,49.2,16.7347,27,52.2,67.9,68.0,59.8
20160106071500,0.0,0.0,7,53.1,67.6,68.0,59.8
20160106073000,0.0,0.0,8,56.3,68.0,68.0,59.8
20160106074500,0.0,0.0,3,58.7,67.6,68.0,59.8
20160106080000,0.0,0.0,5,60.3,67.8,68.0,59.8
20160106081500,0.0,0.0,3,61.4,67.7,68.0,59.8
20160106083000,0.0,0.0,1,62.1,67.6,68.0,59.8
20160106084500,0.0,0.0,3,62.8,68.3,68.0,59.8
20160106090000,0.0,0.0,2,62.8,68.1,68.0,59.8
20160106091500,0.0,0.0,3,63.6,68.1,68.0,59.8
20160106093000,111.6,37.9592,36,54.3,69.2,68.0,59.8
20160106094500,165.0,56.1224,46,48.7,69.0,68.0,59.8
20160106100000,152.4,51.8367,44,48.7,68.2,68.0,59.8
20160106101500,152.4,51.8367,44,48.7,68.0,68.0,59.8
20160106103000,126.6,43.0612,41,48.7,68.0,68.0,59.8
20160106104500,194.4,66.1224,51,47.9,68.9,68.0,59.8
20160106110000,171.0,58.1633,47,47.9,67.7,68.0,59.8
20160106111500,178.8,60.8163,49,47.9,68.6,68.0,59.8
20160106113000,193.8,65.9184,50,49.4,67.9,68.0,59.8
20160106114500,148.2,50.4082,43,49.4,67.4,68.0,59.8
20160106120000,141.0,47.9592,43,49.4,68.2,68.0,59.8
20160106121500,141.0,47.9592,43,49.4,67.6,68.0,59.8
20160106123000,141.0,47.9592,43,49.4,67.9,68.0,59.8
20160106124500,159.6,54.2857,45,49.4,68.2,68.0,59.8
